Vehicle_Speed_kmh,Vehicle_Speed_RPM_mean,Wheel_RPM_std,Battery_Voltage_V,Battery_Current_A,Battery_Power_W,Power_per_Speed,Battery_SOC_Pct,Battery_Resistance_Ohms,Battery_Temp_Max_C,Temp_Stress_Index,Throttle_Pct,Torque_Command_Error,Brake_Pedal_Pct,Brake_Pressure_Front_kPa,Brake_Pressure_Rear_kPa,Brake_Pressure_Diff
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0.4,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0.4,0.4,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,13,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
0,0,0,92.8,0,0,0,14,0.022528,23,0,0,0,0,0,1020,1020
